CID,SMILES
44387129,C1=CC=C2C(=C1)C=CC3=C2C=C(C=C3)C(=O)NO
403373,C1=CC(=CC=C1C(=O)NCCCCCC(=O)NO)Cl
9943996,C1=CC(=CC=C1C(=O)NCCCCCC(=O)NO)[N+](=O)[O-]
10242569,C1=CC=NC(=C1)C2=CC=C(S2)C(=O)NO
10592233,C1=CC=C(C=C1)CCCNC(=O)C(CC2=CC=CC=C2)C(=O)NO
10891349,C1=CC=C2C=C(C=CC2=C1)/C=C/CCCCCC(=O)NO
10967421,C1=CN=CC=C1NC(=O)CCCCCCC(=O)NO
11322291,C[C@H](C1=CC=C(C=C1)CC(C)C)C(=O)NOC
11323577,C1=CC=C(C=C1)CC(=O)NCC2=CC=C(C=C2)C(=O)NO
11436221,C1=CC=C2C=C(C=CC2=C1)SCC(=O)NO
11747496,C1=CC=NC(=C1)NC(=O)CCCCCCC(=O)NO
11817702,C1=CC=C(C=C1)C(=O)NC2=CC=C(C=C2)C(=O)NO
13687220,C1=CC=C2C=C(C=CC2=C1)CCC(=O)NO
25002768,C1=CC=C(C=C1)C2=CC=C(S2)C(=O)NO
25049753,C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)NCC(=O)NO
44386193,CCCCOC1=CC=C(C=C1)CC(=O)N(C)O
44386957,C1=CC=C(C=C1)C(=O)C2=CC(=CC=C2)C(=O)NO
44446270,C1=CC=C2C(=C1)C=C(C(=O)O2)CCC(=O)NO
1582612,C1=CC=C2C(=C1)C(=O)N(C2=O)OS(=O)(=O)C3=CC=C(C=C3)F
71777699,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)CNC2=NC=C(C(=O)N2)C(=O)NO
21589070,CC[C@@H]1[C@@H]2C[C@@H]3[C@]4(C[C@@H]([C@H]2CO3)N1)C5=CC=CC=C5N(C4=O)OC
11185008,C[C@@H]1C[C@@H]([C@H]2C3=C(C=CN(C3=O)O)O[C@@H]([C@]2(C1)C)C)C
6436061,C1=CC(=NC(=C1)/C=C/C2=CC=C(O2)[N+](=O)[O-])CO
2765097,C=CCON1C(=O)C2=CC=CC=C2C1=O
12686578,CC(C)(C)OC(=O)N[C@@H](CCCCNC(=O)OCC1=CC=CC=C1)C(=O)ON2C(=O)CCC2=O
34443,C1CON2C1OC3=C(C2=O)C=C(C=C3)Cl
24875489,COC(=O)C1=CC=C(C=C1)OC(=O)CCCCCCC(=O)NO
