Code,Average IC50,Bioactivity,SMILES,INCHI-KEY
549266,25140,inactive,CC(C)(C)c1ccc(CNCCCCNCCCNC(CCCCC(NO)=O)=O)cc1.Br,BLRVELRGNNUEMO-UHFFFAOYSA-N
552977,98520,inactive,CC(C)(C)c1ccc(CNCCCCNCCCNC(CCCCC(O)=O)=O)cc1.Br,IZKNBKCGIPJONI-UHFFFAOYSA-N
429928,4900,inactive,CC(C)(C)c1ccc(CNCCCCNCCCNC(CCCCCCC(NCc(cc2)ccc2C(Nc(cccc2)c2N)=O)=O)=O)cc1,RPNIBCYMWWNWSM-UHFFFAOYSA-N
644450,50640,inactive,CC(C)(C)c1ccc(CNCCCCNCCCNC(CCCCCCC(NO)=O)=O)cc1.Br,KTKZYUHZBYCPTD-UHFFFAOYSA-N
2109079,1000,inactive,CC(C)(C)c1cnc(CSc2cnc(NC(C3CCN(CCCCC(NO)=O)CC3)=O)[s]2)[o]1,CYGCLOJRRUQAJK-UHFFFAOYSA-N
2140656,1000,inactive,CC(C)(C)c1cnc(CSc2cnc(NC(C3CCN(CCCCCC(NO)=O)CC3)=O)[s]2)[o]1,KAHWEJLYAVCRJH-UHFFFAOYSA-N
2122366,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(C3CCN(CCCCCCC(NO)=O)CC3)=O)[s]2)[o]1,XNKSBBUBADLBIF-UHFFFAOYSA-N
2154232,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(Cc(cc3)ccc3OCCCC(NO)=O)=O)[s]2)[o]1,VGEVFXUUILGVIP-UHFFFAOYSA-N
2192190,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(Cc(cc3)ccc3OCCCCC(NO)=O)=O)[s]2)[o]1,GUJWITPZSKXCKQ-UHFFFAOYSA-N
2132108,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(CCCC(NO)=O)=O)[s]2)[o]1,CNNOAGXHCAVQKZ-UHFFFAOYSA-N
2166933,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(CCCCC(NO)=O)=O)[s]2)[o]1,SNMMJBCMTCRCSM-UHFFFAOYSA-N
2122506,100,active,CC(C)(C)c1cnc(CSc2cnc(NC(CCCCCCC(NO)=O)=O)[s]2)[o]1,YPFLDICVRQBYQM-UHFFFAOYSA-N
